type,name,url,thomasID,jurisdiction
house,House Committee on Transportation and Infrastructure,http://transportation.house.gov/,HSPW,"The Transportation and Infrastructure Committee has jurisdiction over all modes of transportation: aviation, maritime and waterborne transportation, highways, bridges, mass transit, and railroads.  The Committee also has jurisdiction over other aspects of our national infrastructure, such as clean water and waste water management, the transport of resources by pipeline, flood damage reduction, the management of federally owned real estate and public buildings, the development of economically depressed rural and urban areas, disaster preparedness and response, and hazardous materials transportation."
house,House Committee on Rules,http://rules.house.gov/,HSRU,"The Rules Committee has two broad categories of jurisdiction: special orders for the consideration of legislation (known as “special rules” or “rules”) and original jurisdiction matters. A special rule provides the terms and conditions of debate on a measure or matter, consideration of which constitutes the bulk of the work of the Rules Committee. The Committee also considers original jurisdiction measures, which commonly represent changes to the standing rules of the House, or measures that contain special rules, such as the expedited procedures in trade legislation."
house,House Committee on Small Business,http://smallbusiness.house.gov/,HSSM,"The House Small Business Committee was established to protect and assist small businesses.  The Committee has jurisdiction over matters related to small business financial aid, regulatory flexibility, paperwork reduction, and the Small Business Administration (SBA) and its programs."
house,House Committee on Ethics,http://ethics.house.gov/,HSSO,"The House Ethics Committee has the jurisdiction to administer travel, gift, financial disclosure, outside income, and other regulations related to the actions of members of the House."
house,"House Committee on Science, Space, and Technology",http://science.house.gov/,HSSY,"The Committee on Science, Space, and Technology has jurisdiction over energy research, all federally owned or operated non-military energy laboratories, astronautical research and development, civil aviation, environmental research and development, marine research, the National Institute of Standards and Technology, NASA, NSF, NWS, outer space, and other aspects of scientific research."
house,House Select Committee on the Events Surrounding the 2012 Terrorist Attack in Benghazi,http://benghazi.house.gov/,HLZI,
house,House Committee on Veterans' Affairs,http://veterans.house.gov/,HSVR,"The Committee on Veterans’ Affairs is the authorizing Committee for the Department of Veterans Affairs. The Committee recommends legislation expanding, curtailing, or fine-tuning existing laws relating to veterans’ benefits. The Committee also has oversight responsibility of the VA."
house,House Committee on Ways and Means,http://waysandmeans.house.gov/,HSWM,"The Committee on Ways and Means is the oldest committee of the United States Congress, and is the chief tax-writing committee in the House of Representatives. The Committee derives a large share of its jurisdiction from Article I, Section VII of the U.S. Constitution which declares, “All Bills for raising Revenue shall originate in the House of Representatives.”"
joint,Commission on Security and Cooperation in Europe,http://www.csce.gov/,JCSE,
joint,Joint Economic Committee,http://jec.senate.gov/,JSEC,
joint,Joint Committee on the Library,https://cha.house.gov/jointcommittees/joint-committee-library,JSLC,
joint,Joint Committee on Printing,https://cha.house.gov/jointcommittees/joint-committee-on-printing,JSPR,
joint,Joint Committee on Taxation,https://www.jct.gov,JSTX,
senate,United States Senate Caucus on International Narcotics Control,http://www.drugcaucus.senate.gov/,SCNC,
senate,Senate Select Committee on Ethics,http://ethics.senate.gov/,SLET,
senate,Senate Committee on Indian Affairs,http://indian.senate.gov/,SLIA,
senate,Senate Select Committee on Intelligence,http://intelligence.senate.gov/,SLIN,
senate,Senate Special Committee on Aging,http://www.aging.senate.gov/,SPAG,
senate,"Senate Committee on Agriculture, Nutrition, and Forestry",http://agriculture.senate.gov/,SSAF,
senate,Senate Committee on Appropriations,http://appropriations.senate.gov/,SSAP,
senate,Senate Committee on Armed Services,http://armed-services.senate.gov/,SSAS,
senate,"Senate Committee on Banking, Housing, and Urban Affairs",http://banking.senate.gov/,SSBK,
senate,Senate Committee on the Budget,http://budget.senate.gov/,SSBU,
senate,"Senate Committee on Commerce, Science, and Transportation",http://commerce.senate.gov/,SSCM,
senate,Senate Committee on Energy and Natural Resources,http://energy.senate.gov/,SSEG,
senate,Senate Committee on Environment and Public Works,http://epw.senate.gov/,SSEV,
senate,Senate Committee on Finance,http://finance.senate.gov/,SSFI,
senate,Senate Committee on Foreign Relations,http://foreign.senate.gov/,SSFR,
senate,Senate Committee on Homeland Security and Governmental Affairs,http://hsgac.senate.gov/,SSGA,
senate,"Senate Committee on Health, Education, Labor, and Pensions",http://help.senate.gov/,SSHR,
senate,Senate Committee on the Judiciary,http://judiciary.senate.gov/,SSJU,
senate,Senate Committee on Rules and Administration,http://rules.senate.gov/,SSRA,
senate,Senate Committee on Small Business and Entrepreneurship,http://sbc.senate.gov/,SSSB,
senate,Senate Committee on Veterans' Affairs,http://veterans.senate.gov/,SSVA,
